904 864
778 643 5
172 767 2
130 337 1
782 791 6
587 275 -9
564 176 -5
393 800 1
296 588 -7
587 373 2
256 282 -1
880 129 -5
404 513 7
523 603 5
357 530 -7
319 668 -10
674 182 -3
710 257 -1
773 859 7
489 836 9
247 149 1
178 785 2
94 586 -4
694 554 3
387 348 -9
85 222 -6
488 57 0
100 650 8
298 413 -10
320 199 -7
662 157 -5
73 778 0
750 638 -7
447 606 0
133 894 -6
204 128 8
137 524 2
222 5 7
482 165 3
900 548 0
452 669 10
705 799 4
697 402 2
876 342 -4
132 223 6
216 189 -10
881 411 -1
762 842 10
790 633 -4
209 336 10
427 281 -4
191 565 0
405 652 5
314 563 -1
412 93 -2
121 187 -6
734 574 9
385 27 0
861 440 3
21 207 3
256 242 3
828 450 -7
99 721 -2
657 597 -1
370 727 -4
795 832 4
654 42 4
723 592 4
376 728 5
117 553 -9
451 130 0
490 476 10
149 62 6
227 309 10
507 234 -5
17 222 1
185 728 -5
164 403 -6
584 283 8
40 577 0
224 513 10
203 434 -1
609 829 -4
754 433 2
466 251 10
218 170 9
179 642 -9
601 790 0
667 785 -9
186 762 -4
529 173 2
780 268 -4
354 498 -8
333 568 1
702 550 10
368 170 4
604 149 3
638 835 -4
166 33 -2
266 63 -1
522 736 -8
98 395 3
65 903 -6
40 624 -1
332 429 8
405 775 1
274 790 -9
213 417 3
271 384 1
888 49 -8
230 745 -5
112 346 -1
48 864 -4
361 771 10
547 193 -6
796 882 6
877 318 1
563 799 4
480 8 2
356 557 4
163 255 -1
362 852 7
113 247 -7
856 120 7
180 337 -10
210 721 7
729 774 -8
798 263 8
769 268 8
387 565 4
864 551 6
584 240 10
559 662 -2
876 37 5
137 241 -10
167 551 7
819 850 -9
285 717 4
844 843 3
127 412 -3
714 662 0
436 138 -3
578 191 -1
513 753 -8
25 371 10
85 445 2
285 245 -6
8 481 8
371 154 0
643 233 -7
294 175 5
134 228 8
308 197 1
843 898 -6
342 722 -7
230 517 -2
103 771 6
601 37 -1
253 263 -2
231 381 -2
644 324 -10
898 471 -3
904 395 4
851 381 9
56 862 -5
881 365 3
793 895 8
801 860 9
590 103 2
669 132 1
130 195 5
216 861 -6
172 152 10
838 152 -7
803 218 5
839 191 -10
501 777 -3
594 503 7
666 199 -3
75 226 6
523 374 -1
279 402 -10
123 34 -5
597 418 8
163 156 10
664 52 -5
277 459 4
315 185 -9
606 502 1
529 662 -5
641 362 -7
678 714 -1
599 449 -3
110 321 -1
387 550 2
436 520 -1
131 211 8
497 682 -9
324 240 -8
382 447 -4
641 263 -1
784 37 7
502 269 4
543 21 3
131 193 7
450 216 0
863 654 -8
727 163 -7
722 798 -6
673 611 0
756 518 -4
497 470 -8
748 799 7
723 669 -2
485 296 8
830 790 3
26 120 8
265 780 -6
85 674 4
640 237 5
868 538 1
884 3 4
78 663 -8
46 116 6
759 141 1
167 795 8
888 601 -5
411 753 -9
767 688 -9
80 901 7
676 13 -7
350 651 -3
437 703 9
333 652 -8
898 360 -5
554 43 10
739 389 -4
106 268 8
402 422 -8
52 737 -6
43 737 -8
228 471 7
699 389 10
320 567 -8
105 462 2
558 125 8
263 276 3
84 157 5
380 562 4
112 550 1
254 672 3
330 77 -6
502 149 -8
752 362 -4
353 728 -3
827 845 10
484 866 2
709 500 -5
100 112 -2
773 143 -9
758 481 -1
51 728 3
873 567 -7
527 329 -5
659 752 0
565 503 0
582 385 -7
256 194 -9
180 591 4
727 490 -1
179 588 9
797 313 -5
344 226 3
516 349 -7
294 170 6
45 488 1
603 666 3
679 521 0
131 875 9
580 190 -6
643 691 -4
477 384 1
443 77 -5
19 680 1
718 45 2
325 291 6
33 447 -4
200 772 6
764 781 0
282 656 -1
8 111 -5
726 3 -9
656 623 4
298 131 7
204 808 -4
467 207 6
322 486 6
449 746 -9
346 840 -7
195 722 -9
537 289 4
459 486 -4
861 104 2
487 651 -6
854 69 0
33 92 0
550 820 -3
374 745 7
639 176 -3
309 49 3
589 371 8
769 339 -5
384 203 3
67 568 -5
131 684 -8
407 241 -3
845 796 7
257 339 -8
182 544 5
600 363 -5
589 844 -5
769 697 2
624 855 0
352 811 3
590 403 -6
277 840 5
633 818 2
171 271 -5
504 10 0
632 51 -7
624 233 7
152 360 10
91 596 -1
341 474 4
761 893 10
880 351 7
665 861 -4
475 339 1
260 178 7
469 541 4
784 313 4
117 245 -4
580 207 -6
648 517 10
243 668 -8
654 738 -10
898 228 -8
367 69 -2
773 195 -2
415 798 0
423 875 -7
198 356 -6
801 429 9
817 654 -8
32 658 -10
409 464 -9
787 101 2
332 564 3
864 902 2
290 725 -9
24 219 10
116 848 5
817 17 -1
631 573 10
741 430 0
693 775 5
694 179 0
365 854 2
885 316 4
662 246 9
581 571 -9
107 470 8
50 246 -7
883 368 0
424 399 2
681 815 6
371 874 5
882 336 -4
54 831 9
361 847 8
784 58 3
648 93 2
328 774 -3
762 511 -2
296 12 6
889 470 -3
735 368 -3
302 780 -10
347 180 -4
283 309 1
248 549 -6
826 293 -7
268 683 -8
392 345 -5
440 664 -1
764 899 -7
719 750 -9
125 297 1
208 212 -8
74 665 6
584 532 4
670 353 -9
679 754 10
728 193 -4
808 325 -3
862 63 5
542 731 -7
37 354 6
117 256 5
560 160 -5
224 306 5
267 780 -4
791 694 1
72 181 -9
24 379 6
710 326 7
315 109 10
299 241 9
342 701 7
36 736 8
820 877 -10
901 592 1
436 262 6
150 840 10
351 472 5
710 885 -7
829 799 -1
585 104 6
413 836 -5
313 179 2
262 466 -9
341 783 8
346 443 -7
867 396 2
794 289 -7
700 205 7
342 441 -5
879 417 7
382 474 -8
180 233 -6
802 294 5
541 366 10
75 854 -4
117 308 1
902 899 6
751 50 2
537 223 -4
30 153 -4
131 227 8
496 674 9
465 31 -1
552 640 10
609 400 -4
392 530 0
85 608 -5
583 313 10
578 162 -1
781 829 8
600 76 -2
208 63 5
9 128 -8
776 460 -3
62 714 -1
231 18 -7
468 826 7
635 335 -3
758 586 -7
844 278 -9
390 568 -4
171 663 -10
90 23 8
624 709 5
608 171 0
714 356 3
125 862 2
346 238 -9
679 234 1
352 233 10
92 67 5
428 463 8
14 149 2
780 728 -1
342 656 7
414 481 -5
474 89 7
9 364 -10
243 219 -9
858 367 6
772 111 3
114 614 -2
663 339 5
223 47 4
165 407 -10
657 234 4
74 871 8
612 698 6
538 760 -1
113 258 -6
147 234 -7
250 843 2
688 40 -8
627 327 5
441 610 -7
640 123 -4
688 379 3
19 198 -2
775 26 6
442 38 -10
890 309 -7
85 325 -8
680 618 -3
118 536 -6
387 827 -8
575 476 9
119 666 -3
602 192 -7
830 26 6
183 156 1
711 396 10
786 23 -9
234 173 0
70 367 -9
209 544 3
839 739 -8
616 307 5
721 528 3
16 360 -2
455 84 -7
